,Title,Price,Location,Description,Posted_time
2463,ផេនហៅស៍ទំនេីបជាងគេ,"$339,945",Phnom Penh,លក់បង្ហេីយចំនួន3Unitផ្តល់ជូនពិសេស0123289820969249289,2 hours ago
2464,Flat Villa (Special and Mondern ),"$693,000",Phnom Penh,"V-30-08Size 313SqmFull Price $693,000Price After Discount $663,000Booking $5,000SPA Sign Contract 30%Pay",2 hours ago
2465,condo studio room សម្រាប់លក់,"$78,000",Preah Sihanouk,condo studio room សម្រាប់លក់condo ជាន់ទី១៧​ ថ្មីមិនទាន់ធ្លាប់ចូល​ស្នាក់នៅ​ទំហំ44sqm​ បែរមុខ​ sihanoukville c,2 hours ago
2466,Condo for sale (Down 30% Move in),"$86,084",Phnom Penh,"💥💥Tk StarUnit: 707Floor: 7Size : 52.49 sqm Final price: 86,084$———————————————Paym",2 hours ago
2467,Rose condo two bedroom with new interior design for sale /玫瑰豪华装修两房出售,"$250,000",Phnom Penh,Floor/楼层：High /高楼2 Bedroom/2室1厅 Size/面积：132m²Direction/方向：East 朝东Telegram/飞机号：@simsivteang,2 hours ago
2468,ខុនដូសម្រាប់លក់,"$140,000",Phnom Penh,"ប្រភេទ ១បន្ទប់គេង😍តម្លៃ​ ៖​ 13X,XXX USDទំហំចាប់ពី ៖​​ 58.64sqmថែមជូនគ្រឿងសង្ហារឹមពេញ (Smart-hom",2 hours ago
2469,Penthouse One Park សង់ហើយ100% ចូលនៅបានភ្លាមៗ,"$1,299,320",Phnom Penh,"Payment Down 30p% installment with Developer or Bank • Land Size: 8 hectares • Construction area: 330,000s",2 hours ago
2470,Luxury Phenthouse,"$3,683,080",Phnom Penh,"Luxury Penthouse 45th Floor After Decor and Fully Furniture Booking:$100,000SPA30%=$1,104,92370% Installm",2 hours ago
2471,Condo The Star Polaris 23,"$49,999",Phnom Penh,"ខុនដូនៅបុរីប៉េងហួតបឹងស្នោរ ត្រូវការលក់បន្ទាន់-ទំហំ៖ 30ម៉ែត្រការ៉េ ជាន់ទី១៨ បែរទៅទិសខាងត្បូង -មានបន្ទប់គេង១",2 hours ago
2472,The Star Polaris 23,"$49,999",Phnom Penh,-ខុនដូរ ជាន់ទី១៨ បែរទៅត្បូង មានទេសភាពខាងសួនអុឺរ៉ុប-ផ្តល់ជូនគ្រឿងសង្ហារឹមមួយឈុតដូចរូប មានទូខោអាវ វាំងនន សាឡុង ,2 hours ago
2473,The Penthouse Residence,"$350,000",Phnom Penh,The Penthouse Residence-ផ្តល់ជូនសំភារៈដូចជា៖ ម៉ាស៊ីនត្រជាក់ គ្រឿងសង្ហារឹម វាំងនន គ្រែ ពូក កម្រាលពូក សាឡុង តុ ,2 hours ago
2474,The Penthouse Residence,"$350,000",Phnom Penh,The Penthouse Residence-ផ្តល់ជូនសំភារៈដូចជា៖ ម៉ាស៊ីនត្រជាក់ គ្រឿងសង្ហារឹម វាំងនន គ្រែ ពូក កម្រាលពូក សាឡុង តុ ,2 hours ago
2475,2Bedroom River View,"$138,666",Phnom Penh,"Future CityUnit :901Size : (81.04m2 Gross,66.80m2 Net )Full Price:$163,133Sale Price:$138,663Typ : B1-",2 hours ago
2476,🏘ខុនដូ The Park Land TK (ជាន់​ទី5) នៅលើផ្លូវឧកញ៉ាម៉ុងឬទ្ធី ខណ្ឌសែនសុខ ត្រូវការលក់បន្ទាន់​,"$54,000",Phnom Penh,"(English Below)🏘ខុនដូ The Park Land TK (ជាន់​ទី5) នៅលើផ្លូវឧកញ៉ាម៉ុងឬទ្ធី (ភ្នំពេញថ្មី) ខណ្ឌសែនសុ",2 hours ago
2477,2Bedroom for sale at J-Tower 2 Condo  (No furniture),"$225,000",Phnom Penh,"Code: J21062Bedroom for sale at J-Tower 2 Condo (No furniture)• Location: Street 398, BKK1, Phnom Penh",2 hours ago
2478,"Studio Room Prices only $6x,xxx ជាប់ទន្លេមេគង្គ","$68,000",Phnom Penh,"𝐌𝐨𝐫𝐠𝐚𝐧 𝐄𝐧𝐌𝐚𝐢𝐬𝐨𝐧 Big promotion Studio Room price only $6x,xxxPayment termDown 30p% installment 3year Telegr",2 hours ago
2479,Chip mong condo (ម្ចាស់ផ្ទាល់,"$17,500",Phnom Penh,ខុនដូរថ្មី សំណង់រួចរាល់100%នៅកណ្ដាលក្រុង ងាយស្រួលរស់នៅក្បែរផ្សារទំនើបជាច្រើន នៅជាប់ផ្លូវធំ តែម្ដងទិញភ្លាមចូ,3 hours ago
2480,ទិញខុនដូមួយជាន់ចំណេញមួយជាន់,"$121,100",Phnom Penh,"𝐌𝐨𝐫𝐠𝐚𝐧 𝐄𝐧𝐌𝐚𝐢𝐬𝐨𝐧 Big promotion Loft Max( 2bedroom ) price only $121,100Payment termDown 30% installment 3yea",3 hours ago
2481,2បន្ទប់​គេង​ជាន់ខ្ពស់Viewស្អាត,"$174,739",Phnom Penh,"Unit #3-3614Floor 36thRoom 142បន្ទប់​គេង​2បន្ទប់​ទឹក​បង់ប្រាក់​មុន10%90%រំលស់បង់ប្រចាំខែ$1,429ទំនាក់ទំន",3 hours ago
2482,Business Spaceទិញ1ជាន់ថែម1ជាន់,"$1,800,000",Phnom Penh,For business concept Restaurant or something,3 hours ago
2483,La vista one (3បន្ទប់គេង 3បន្ទប់ទឹក 2កន្លែងទទួលភ្ញៀវ) ទេសភាញទន្លេមេគង្គ,"$218,000",Phnom Penh,✅Unit : A-11-01▪️Floor : 11▪️Room : 01▪️Size : 127 m2 ▪️View ,3 hours ago
2484,2បន្ទប់​គេង​ផ្លូវមុន្នីវង្ស,"$179,399",Phnom Penh,"ខុនដូ2បន្ទប់​គេង​2បន្ទប់​ទឹក​បង់ប្រាក់​មុន10%90%រំលស់បង់ប្រចាំខែ$1,467ទំនាក់ទំនង​បន្ថែម​0123289820969249",3 hours ago
2485,The Penthouse (Tk),"$600,000",Phnom Penh,"Phenthouse Time Sqare 2Floor 29thSize Gross333m2Net Area 250m2Original Price $600,000Discount 5%Payment ",3 hours ago
2486,VIP 3 Bedrooms Timesquare306 BKK1 for Sale,"$263,250",Phnom Penh,"English below]ខុនដូ Timesquare306 លក់ជិតអស់ហើយ សូមរួសរាន់ឡើង!✔️ តម្លៃតែ $263,250 បញ្ចុះរហូតដល់ $",3 hours ago
2487,2Bedroom J Tower2 for sale,"$188,000",Phnom Penh,"✔️ Location BKK1✔️ Net size 65m2✔️ Fully Furnished✔️ Facing to N",3 hours ago
2488,Time Square 306 (Big Unit ),"$236,925",Phnom Penh,✅គម្រោងខុនដូកណ្តាលក្រុង BKK1 ប្រភេទThree Bedroom តម្លៃពិសេស $236925☎️093986289/012362365\u270,3 hours ago
2489,La Vista One លក់ប្រូម៉ូហ្សិនចូលឆ្នាំចិន,"$92,000",Phnom Penh,"✅Unit : B- 09- 06▪️Floor : 09▪️Room : 06▪️Size : 59,27 m2 ▪️V",3 hours ago
2490,ខុនដូ 1បន្ទប់គេងលក់តម្លៃ  /Condo 1bed for sale,"$49,000",Phnom Penh,"[English below] 「日本語も対応可能」Code/កូដៈ B613ខុនដូ 1បន្ទប់គេងសម្រាប់លក់  • ទីតាំង សង្កាត់អូរឡាំពិក ខណ្ឌបឹងក",3 hours ago
2491,"Boeng Tumpun area| Modern style 1 bedroom condominium on 5th for sale| Pool, Gym & Sauna","$66,000",Phnom Penh,"Modern style 1 bedroom condominium on 5th for sale in Boeng Tumpun area| Pool, Gym & SaunaSelling pric",3 hours ago
2492,--- One Bedroom in Ps Crystal Condo For Sale ---,"$66,000",Phnom Penh,"--- One Bedroom in Ps Crystal Condo For Sale ---- Price: $ 66,000- Ownership: Strata title- Facing: Nort",3 hours ago
2493,--- Corner Unit Condo Near Independent BKK1 for Urgent Sale! ---,"$75,000",Phnom Penh,"--- Corner Unit Condo Near Independent BKK1 for Urgent Sale! ---- Sale Price: $ 75,000- Size: 35 sqm- Fl",3 hours ago
2494,--- One Bedroom at L Residence Beng Trobek 2 For Urgent Sale ---,"$48,000",Phnom Penh,"--- One Bedroom at L Residence Beng Trobek 2 For Urgent Sale ---- Price: 48,000$- Ownership: Strata title",3 hours ago
2495,--- Beautiful Fully Furnished 2 Bedrooms at Condo Mekong View 1 for Urgent Sale --- ,"$90,000",Phnom Penh,"--- Beautiful Fully Furnished 2 Bedrooms at Condo Mekong View 1 for Urgent Sale --- - Price: 90,000$ include",3 hours ago
2496,--- Two Bedrooms 70sqm at Condo Urban Village Urgent Sale ---,"$115,000",Phnom Penh,"--- Two Bedrooms 70sqm at Condo Urban Village Urgent Sale ---- Price: 115,000$- Size: 70sqm net- Floor: ",3 hours ago
2497,--- One Bedroom 13th Floor At  L Residence Boeung Trabek 2 For Urgent Sale ---,"$65,000",Phnom Penh,"--- One Bedroom 13th Floor At  L Residence Boeung Trabek 2 For Urgent Sale ---- Price: 65,000$- Ownership:",3 hours ago
2498,--- One Bedroom at Condo UK TK Avenue For Urgent Sale ---,"$58,000",Phnom Penh,"--- One Bedroom at Condo UK TK Avenue For Urgent Sale ---- Price: $ 58,000- Ownership: Strata title- Net",3 hours ago
2499,--- BKK Condo L Residence for Sale ---,"$75,000",Phnom Penh,"--- BKK Condo L Residence for Sale ---- Price: $ 75,000- Size (Gross): 58 sqm- Size (Net): 49.1 sqm- F",3 hours ago
2500,Boeng Snor area| 1 bedroom condominium for sale| Rooftop terrace & Gym,"$55,000",Phnom Penh,"1 bedroom condominium for sale in Boeng Snor area| Rooftop terrace & GymSelling price: 55,000$Prop",1 hour ago
2501,"In front of Aeon mall Phnom Penh | Beautiful 4 bedrooms penthouse for sale | Pool, Gym & Sky-bar |","$970,000",Phnom Penh,"Beautiful 4 bedrooms penthouse for sale In front of Aeon mall Phnom Penh | Pool, Gym & Sky-bar |Sale P",1 hour ago
2502,"7 Makara area| Brand new 1 bedroom condominium for sale| Swimming pool, gym and sauna","$55,000",Phnom Penh,"Brand new 1 bedroom condominium for sale in 7 Makara area| Swimming pool, gym and saunaSelling price: $55,",1 hour ago
2503,ខុនដូទំនេីបមានប្លង់រឹង100%,"$147,595",Phnom Penh,Unit #3-1114ខុនដូ2បន្ទប់​គេង​2បន្ទប់​ទឹក​បង់ប្រាក់​មុន10%90%រំលស់បង់ប្រចាំខែ$1207ទំនាក់ទំនង​បន្ថែម​01232,2 hours ago
2504,1 bedroom 51sqm bkk2,"$60,000",Phnom Penh,New condominium 1 bedroom 51sqm 19th floor and fully facility | hard tittle from developerPrice one bedroom 5,2 hours ago
2505,ខុនដូ សង់ហើយ អាចចូលស្នាក់នៅបាន,"$83,251",Phnom Penh,"Prince Huanyu ការបង់ប្រាក់ងាយស្រួល មានប្រភេទបន្ទប់ Studio room 1bedroom 2bedroom 3bedroom Information[""\ud83d""]\",2 hours ago
2506,3Bed-Free Fully Furniture Move in,"$277,932",Phnom Penh,"*Unit 1111-Size 105.93Sqm-Type 3Bedroom/2Bathroom-Original Price $321,383*Price After Discount $277,932-B",2 hours ago
2507,Phenthouse ផ្តល់ជូនពិសេស,"$2,735,490",Phnom Penh,Best Offer 1Year Pay0123289820969249289 (Telegram),2 hours ago
2508,"ខុនដូទួលគោក បង់$22,500ចូលនៅភ្លាម","$75,000",Phnom Penh,"✅ ទីតាំងcondoនៅ ភ្នំពេញ  ទួលគោក👉បង់មុនត្រឹន$22,500ចូលនៅភ្លាម✅ នៅក្បែរ ផ្សារ TK  ទួលគោ",2 hours ago
2509,លក់បន្ទាន់ ខុនដូនៅទួលគោក,"$75,000",Phnom Penh,"បង់មុនត្រឹមតែ 22,500$ តែបុណ្តោះ ក្លាយជាម្ចាស់ខុនដូភ្លាមៗ 70% បង់រយៈពេល 36 ខែដោយគ្មានការប្រាក់ អាចបត់បែនបាន ",2 hours ago
2510,បង់មុន 10% ចូលនៅបាន,"$125,403",Phnom Penh,"បង់ $37,621ចូលនៅបានភ្លាម ខុនដូនៅទួលគោកType : Studio Room Size : 36.25 m2 Original price : $143,602Special",2 hours ago
2511,ខុនដូលក់បន្ទាន់ រឺជួល,"$26,000",Phnom Penh,ខុនដូលក់បន្ទាន់ ព្រោះត្រូវការលុយបង្វិល។ បើបងប្អូនចង់បានគ្រាន់តែបង់មុន30% ហើយសល់ប៉ុន្មានអាចបង់បន្តជាមួយខុនដូបាន,2 hours ago
2512,ផេនហៅស៍ទំនេីបជាងគេ,"$339,945",Phnom Penh,លក់បង្ហេីយចំនួន3Unitផ្តល់ជូនពិសេស0123289820969249289,2 hours ago
2513,Flat Villa (Special and Mondern ),"$693,000",Phnom Penh,"V-30-08Size 313SqmFull Price $693,000Price After Discount $663,000Booking $5,000SPA Sign Contract 30%Pay",2 hours ago
2514,condo studio room សម្រាប់លក់,"$78,000",Preah Sihanouk,condo studio room សម្រាប់លក់condo ជាន់ទី១៧​ ថ្មីមិនទាន់ធ្លាប់ចូល​ស្នាក់នៅ​ទំហំ44sqm​ បែរមុខ​ sihanoukville c,2 hours ago
2515,Condo for sale (Down 30% Move in),"$86,084",Phnom Penh,"💥💥Tk StarUnit: 707Floor: 7Size : 52.49 sqm Final price: 86,084$———————————————Paym",2 hours ago
2516,Rose condo two bedroom with new interior design for sale /玫瑰豪华装修两房出售,"$250,000",Phnom Penh,Floor/楼层：High /高楼2 Bedroom/2室1厅 Size/面积：132m²Direction/方向：East 朝东Telegram/飞机号：@simsivteang,2 hours ago
2517,ខុនដូសម្រាប់លក់,"$140,000",Phnom Penh,"ប្រភេទ ១បន្ទប់គេង😍តម្លៃ​ ៖​ 13X,XXX USDទំហំចាប់ពី ៖​​ 58.64sqmថែមជូនគ្រឿងសង្ហារឹមពេញ (Smart-hom",2 hours ago
2518,Penthouse One Park សង់ហើយ100% ចូលនៅបានភ្លាមៗ,"$1,299,320",Phnom Penh,"Payment Down 30p% installment with Developer or Bank • Land Size: 8 hectares • Construction area: 330,000s",2 hours ago
2519,Luxury Phenthouse,"$3,683,080",Phnom Penh,"Luxury Penthouse 45th Floor After Decor and Fully Furniture Booking:$100,000SPA30%=$1,104,92370% Installm",2 hours ago
2520,Condo The Star Polaris 23,"$49,999",Phnom Penh,"ខុនដូនៅបុរីប៉េងហួតបឹងស្នោរ ត្រូវការលក់បន្ទាន់-ទំហំ៖ 30ម៉ែត្រការ៉េ ជាន់ទី១៨ បែរទៅទិសខាងត្បូង -មានបន្ទប់គេង១",2 hours ago
2521,The Star Polaris 23,"$49,999",Phnom Penh,-ខុនដូរ ជាន់ទី១៨ បែរទៅត្បូង មានទេសភាពខាងសួនអុឺរ៉ុប-ផ្តល់ជូនគ្រឿងសង្ហារឹមមួយឈុតដូចរូប មានទូខោអាវ វាំងនន សាឡុង ,2 hours ago
2522,The Penthouse Residence,"$350,000",Phnom Penh,The Penthouse Residence-ផ្តល់ជូនសំភារៈដូចជា៖ ម៉ាស៊ីនត្រជាក់ គ្រឿងសង្ហារឹម វាំងនន គ្រែ ពូក កម្រាលពូក សាឡុង តុ ,2 hours ago
2523,The Penthouse Residence,"$350,000",Phnom Penh,The Penthouse Residence-ផ្តល់ជូនសំភារៈដូចជា៖ ម៉ាស៊ីនត្រជាក់ គ្រឿងសង្ហារឹម វាំងនន គ្រែ ពូក កម្រាលពូក សាឡុង តុ ,2 hours ago
2524,2Bedroom River View,"$138,666",Phnom Penh,"Future CityUnit :901Size : (81.04m2 Gross,66.80m2 Net )Full Price:$163,133Sale Price:$138,663Typ : B1-",2 hours ago
2525,🏘ខុនដូ The Park Land TK (ជាន់​ទី5) នៅលើផ្លូវឧកញ៉ាម៉ុងឬទ្ធី ខណ្ឌសែនសុខ ត្រូវការលក់បន្ទាន់​,"$54,000",Phnom Penh,"(English Below)🏘ខុនដូ The Park Land TK (ជាន់​ទី5) នៅលើផ្លូវឧកញ៉ាម៉ុងឬទ្ធី (ភ្នំពេញថ្មី) ខណ្ឌសែនសុ",2 hours ago
2526,2Bedroom for sale at J-Tower 2 Condo  (No furniture),"$225,000",Phnom Penh,"Code: J21062Bedroom for sale at J-Tower 2 Condo (No furniture)• Location: Street 398, BKK1, Phnom Penh",2 hours ago
2527,"Studio Room Prices only $6x,xxx ជាប់ទន្លេមេគង្គ","$68,000",Phnom Penh,"𝐌𝐨𝐫𝐠𝐚𝐧 𝐄𝐧𝐌𝐚𝐢𝐬𝐨𝐧 Big promotion Studio Room price only $6x,xxxPayment termDown 30p% installment 3year Telegr",2 hours ago
2528,Chip mong condo (ម្ចាស់ផ្ទាល់,"$17,500",Phnom Penh,ខុនដូរថ្មី សំណង់រួចរាល់100%នៅកណ្ដាលក្រុង ងាយស្រួលរស់នៅក្បែរផ្សារទំនើបជាច្រើន នៅជាប់ផ្លូវធំ តែម្ដងទិញភ្លាមចូ,3 hours ago
2529,ទិញខុនដូមួយជាន់ចំណេញមួយជាន់,"$121,100",Phnom Penh,"𝐌𝐨𝐫𝐠𝐚𝐧 𝐄𝐧𝐌𝐚𝐢𝐬𝐨𝐧 Big promotion Loft Max( 2bedroom ) price only $121,100Payment termDown 30% installment 3yea",3 hours ago
2530,2បន្ទប់​គេង​ជាន់ខ្ពស់Viewស្អាត,"$174,739",Phnom Penh,"Unit #3-3614Floor 36thRoom 142បន្ទប់​គេង​2បន្ទប់​ទឹក​បង់ប្រាក់​មុន10%90%រំលស់បង់ប្រចាំខែ$1,429ទំនាក់ទំន",3 hours ago
2531,Business Spaceទិញ1ជាន់ថែម1ជាន់,"$1,800,000",Phnom Penh,For business concept Restaurant or something,3 hours ago
2532,La vista one (3បន្ទប់គេង 3បន្ទប់ទឹក 2កន្លែងទទួលភ្ញៀវ) ទេសភាញទន្លេមេគង្គ,"$218,000",Phnom Penh,✅Unit : A-11-01▪️Floor : 11▪️Room : 01▪️Size : 127 m2 ▪️View ,3 hours ago
2533,2បន្ទប់​គេង​ផ្លូវមុន្នីវង្ស,"$179,399",Phnom Penh,"ខុនដូ2បន្ទប់​គេង​2បន្ទប់​ទឹក​បង់ប្រាក់​មុន10%90%រំលស់បង់ប្រចាំខែ$1,467ទំនាក់ទំនង​បន្ថែម​0123289820969249",3 hours ago
2534,The Penthouse (Tk),"$600,000",Phnom Penh,"Phenthouse Time Sqare 2Floor 29thSize Gross333m2Net Area 250m2Original Price $600,000Discount 5%Payment ",3 hours ago
2535,VIP 3 Bedrooms Timesquare306 BKK1 for Sale,"$263,250",Phnom Penh,"English below]ខុនដូ Timesquare306 លក់ជិតអស់ហើយ សូមរួសរាន់ឡើង!✔️ តម្លៃតែ $263,250 បញ្ចុះរហូតដល់ $",3 hours ago
2536,2Bedroom J Tower2 for sale,"$188,000",Phnom Penh,"✔️ Location BKK1✔️ Net size 65m2✔️ Fully Furnished✔️ Facing to N",3 hours ago
2537,Time Square 306 (Big Unit ),"$236,925",Phnom Penh,✅គម្រោងខុនដូកណ្តាលក្រុង BKK1 ប្រភេទThree Bedroom តម្លៃពិសេស $236925☎️093986289/012362365\u270,3 hours ago
2538,La Vista One លក់ប្រូម៉ូហ្សិនចូលឆ្នាំចិន,"$92,000",Phnom Penh,"✅Unit : B- 09- 06▪️Floor : 09▪️Room : 06▪️Size : 59,27 m2 ▪️V",3 hours ago
2539,ខុនដូ 1បន្ទប់គេងលក់តម្លៃ  /Condo 1bed for sale,"$49,000",Phnom Penh,"[English below] 「日本語も対応可能」Code/កូដៈ B613ខុនដូ 1បន្ទប់គេងសម្រាប់លក់  • ទីតាំង សង្កាត់អូរឡាំពិក ខណ្ឌបឹងក",3 hours ago
2540,"Boeng Tumpun area| Modern style 1 bedroom condominium on 5th for sale| Pool, Gym & Sauna","$66,000",Phnom Penh,"Modern style 1 bedroom condominium on 5th for sale in Boeng Tumpun area| Pool, Gym & SaunaSelling pric",3 hours ago
2541,--- One Bedroom in Ps Crystal Condo For Sale ---,"$66,000",Phnom Penh,"--- One Bedroom in Ps Crystal Condo For Sale ---- Price: $ 66,000- Ownership: Strata title- Facing: Nort",3 hours ago
2542,--- Corner Unit Condo Near Independent BKK1 for Urgent Sale! ---,"$75,000",Phnom Penh,"--- Corner Unit Condo Near Independent BKK1 for Urgent Sale! ---- Sale Price: $ 75,000- Size: 35 sqm- Fl",3 hours ago
2543,--- One Bedroom at L Residence Beng Trobek 2 For Urgent Sale ---,"$48,000",Phnom Penh,"--- One Bedroom at L Residence Beng Trobek 2 For Urgent Sale ---- Price: 48,000$- Ownership: Strata title",3 hours ago
2544,--- Beautiful Fully Furnished 2 Bedrooms at Condo Mekong View 1 for Urgent Sale --- ,"$90,000",Phnom Penh,"--- Beautiful Fully Furnished 2 Bedrooms at Condo Mekong View 1 for Urgent Sale --- - Price: 90,000$ include",3 hours ago
2545,--- Two Bedrooms 70sqm at Condo Urban Village Urgent Sale ---,"$115,000",Phnom Penh,"--- Two Bedrooms 70sqm at Condo Urban Village Urgent Sale ---- Price: 115,000$- Size: 70sqm net- Floor: ",3 hours ago
2546,--- One Bedroom 13th Floor At  L Residence Boeung Trabek 2 For Urgent Sale ---,"$65,000",Phnom Penh,"--- One Bedroom 13th Floor At  L Residence Boeung Trabek 2 For Urgent Sale ---- Price: 65,000$- Ownership:",3 hours ago
2547,--- One Bedroom at Condo UK TK Avenue For Urgent Sale ---,"$58,000",Phnom Penh,"--- One Bedroom at Condo UK TK Avenue For Urgent Sale ---- Price: $ 58,000- Ownership: Strata title- Net",3 hours ago
2548,--- BKK Condo L Residence for Sale ---,"$75,000",Phnom Penh,"--- BKK Condo L Residence for Sale ---- Price: $ 75,000- Size (Gross): 58 sqm- Size (Net): 49.1 sqm- F",3 hours ago
2549,Condo For SALE Urgently 60m street Urban Village Phase 2 Under Project Price,"$82,000",Phnom Penh,"**Condo For URGENT SALE on 60m street Urban Village Phase 2**- Price $ 82,000 Very under project price- Gr",3 hours ago
2550,"In front of Aeon mall Phnom Penh | Beautiful 4 bedrooms penthouse for sale | Pool, Gym & Sky-bar |","$970,000",Phnom Penh,"Beautiful 4 bedrooms penthouse for sale In front of Aeon mall Phnom Penh | Pool, Gym & Sky-bar |Sale P",1 hour ago
2551,"7 Makara area| Brand new 1 bedroom condominium for sale| Swimming pool, gym and sauna","$55,000",Phnom Penh,"Brand new 1 bedroom condominium for sale in 7 Makara area| Swimming pool, gym and saunaSelling price: $55,",1 hour ago
2552,ខុនដូទំនេីបមានប្លង់រឹង100%,"$147,595",Phnom Penh,Unit #3-1114ខុនដូ2បន្ទប់​គេង​2បន្ទប់​ទឹក​បង់ប្រាក់​មុន10%90%រំលស់បង់ប្រចាំខែ$1207ទំនាក់ទំនង​បន្ថែម​01232,2 hours ago
2553,1 bedroom 51sqm bkk2,"$60,000",Phnom Penh,New condominium 1 bedroom 51sqm 19th floor and fully facility | hard tittle from developerPrice one bedroom 5,2 hours ago
2554,ខុនដូ សង់ហើយ អាចចូលស្នាក់នៅបាន,"$83,251",Phnom Penh,"Prince Huanyu ការបង់ប្រាក់ងាយស្រួល មានប្រភេទបន្ទប់ Studio room 1bedroom 2bedroom 3bedroom Information[""\ud83d""]\",2 hours ago
2555,3Bed-Free Fully Furniture Move in,"$277,932",Phnom Penh,"*Unit 1111-Size 105.93Sqm-Type 3Bedroom/2Bathroom-Original Price $321,383*Price After Discount $277,932-B",2 hours ago
2556,Phenthouse ផ្តល់ជូនពិសេស,"$2,735,490",Phnom Penh,Best Offer 1Year Pay0123289820969249289 (Telegram),2 hours ago
2557,"ខុនដូទួលគោក បង់$22,500ចូលនៅភ្លាម","$75,000",Phnom Penh,"✅ ទីតាំងcondoនៅ ភ្នំពេញ  ទួលគោក👉បង់មុនត្រឹន$22,500ចូលនៅភ្លាម✅ នៅក្បែរ ផ្សារ TK  ទួលគោ",2 hours ago
2558,លក់បន្ទាន់ ខុនដូនៅទួលគោក,"$75,000",Phnom Penh,"បង់មុនត្រឹមតែ 22,500$ តែបុណ្តោះ ក្លាយជាម្ចាស់ខុនដូភ្លាមៗ 70% បង់រយៈពេល 36 ខែដោយគ្មានការប្រាក់ អាចបត់បែនបាន ",2 hours ago
2559,បង់មុន 10% ចូលនៅបាន,"$125,403",Phnom Penh,"បង់ $37,621ចូលនៅបានភ្លាម ខុនដូនៅទួលគោកType : Studio Room Size : 36.25 m2 Original price : $143,602Special",2 hours ago
2560,ខុនដូលក់បន្ទាន់ រឺជួល,"$26,000",Phnom Penh,ខុនដូលក់បន្ទាន់ ព្រោះត្រូវការលុយបង្វិល។ បើបងប្អូនចង់បានគ្រាន់តែបង់មុន30% ហើយសល់ប៉ុន្មានអាចបង់បន្តជាមួយខុនដូបាន,2 hours ago
2561,ផេនហៅស៍ទំនេីបជាងគេ,"$339,945",Phnom Penh,លក់បង្ហេីយចំនួន3Unitផ្តល់ជូនពិសេស0123289820969249289,2 hours ago
2562,Flat Villa (Special and Mondern ),"$693,000",Phnom Penh,"V-30-08Size 313SqmFull Price $693,000Price After Discount $663,000Booking $5,000SPA Sign Contract 30%Pay",2 hours ago
2563,condo studio room សម្រាប់លក់,"$78,000",Preah Sihanouk,condo studio room សម្រាប់លក់condo ជាន់ទី១៧​ ថ្មីមិនទាន់ធ្លាប់ចូល​ស្នាក់នៅ​ទំហំ44sqm​ បែរមុខ​ sihanoukville c,2 hours ago
2564,Condo for sale (Down 30% Move in),"$86,084",Phnom Penh,"💥💥Tk StarUnit: 707Floor: 7Size : 52.49 sqm Final price: 86,084$———————————————Paym",2 hours ago
2565,Rose condo two bedroom with new interior design for sale /玫瑰豪华装修两房出售,"$250,000",Phnom Penh,Floor/楼层：High /高楼2 Bedroom/2室1厅 Size/面积：132m²Direction/方向：East 朝东Telegram/飞机号：@simsivteang,2 hours ago
2566,ខុនដូសម្រាប់លក់,"$140,000",Phnom Penh,"ប្រភេទ ១បន្ទប់គេង😍តម្លៃ​ ៖​ 13X,XXX USDទំហំចាប់ពី ៖​​ 58.64sqmថែមជូនគ្រឿងសង្ហារឹមពេញ (Smart-hom",2 hours ago
2567,Penthouse One Park សង់ហើយ100% ចូលនៅបានភ្លាមៗ,"$1,299,320",Phnom Penh,"Payment Down 30p% installment with Developer or Bank • Land Size: 8 hectares • Construction area: 330,000s",2 hours ago
2568,Luxury Phenthouse,"$3,683,080",Phnom Penh,"Luxury Penthouse 45th Floor After Decor and Fully Furniture Booking:$100,000SPA30%=$1,104,92370% Installm",2 hours ago
2569,Condo The Star Polaris 23,"$49,999",Phnom Penh,"ខុនដូនៅបុរីប៉េងហួតបឹងស្នោរ ត្រូវការលក់បន្ទាន់-ទំហំ៖ 30ម៉ែត្រការ៉េ ជាន់ទី១៨ បែរទៅទិសខាងត្បូង -មានបន្ទប់គេង១",2 hours ago
2570,The Star Polaris 23,"$49,999",Phnom Penh,-ខុនដូរ ជាន់ទី១៨ បែរទៅត្បូង មានទេសភាពខាងសួនអុឺរ៉ុប-ផ្តល់ជូនគ្រឿងសង្ហារឹមមួយឈុតដូចរូប មានទូខោអាវ វាំងនន សាឡុង ,2 hours ago
2571,The Penthouse Residence,"$350,000",Phnom Penh,The Penthouse Residence-ផ្តល់ជូនសំភារៈដូចជា៖ ម៉ាស៊ីនត្រជាក់ គ្រឿងសង្ហារឹម វាំងនន គ្រែ ពូក កម្រាលពូក សាឡុង តុ ,2 hours ago
2572,The Penthouse Residence,"$350,000",Phnom Penh,The Penthouse Residence-ផ្តល់ជូនសំភារៈដូចជា៖ ម៉ាស៊ីនត្រជាក់ គ្រឿងសង្ហារឹម វាំងនន គ្រែ ពូក កម្រាលពូក សាឡុង តុ ,2 hours ago
2573,2Bedroom River View,"$138,666",Phnom Penh,"Future CityUnit :901Size : (81.04m2 Gross,66.80m2 Net )Full Price:$163,133Sale Price:$138,663Typ : B1-",2 hours ago
