N,Model,Price,Ram,CPU,Graphic,Storage
2267,ROG Strix G16 (2023) | G614JV,"1,759",,13th Gen Intel® Core™ i7-13650HX,,M.2 512GB + 1TB PCIe
2268,ROG Strix G18 (2023) | G814JU,"1,699",,13th Gen Intel® Core™ i9-13980HX,,M.2 512GB + 1TB PCIe
2269,ROG Strix G17 2023 | G713PV,"$1,839 ",,Ryzen™ 9 7945HX 16-Core 32-Thread,AMD Radeon Graphics 12-Core,512GB + 1TB M.2 PCIe
2270,ROG Strix G17 2023 | G713PU,"$1,599 ",,Ryzen™ 9 7945HX 16-Core 32-Thread,AMD Radeon Graphics 12-Core,M.2 512GB + 1TB PCIe
2271,ROG Strix G15 | G513IM,"$1,199 ",,AMD Ryzen 7 4800H 8-Core 16-Thread,AMD Radeon Graphics 7-Core,M.2 512GB + 1TB PCIe SSD
2272,ROG Strix G17 | G713QE CPO,"$1,199 ",,AMD Ryzen 9 5900HX 8-Core 16-Thread,AMD Radeon Graphics 12-Core,1TB M.2 PCIe
2273,ROG Strix G17 (2022) G713RC,"$1,199 ",,AMD Ryzen 7 6800HS 8-Core 16-Thread,AMD Radeon Graphics 12-Core,M.2 512GB + 1TB PCIe
2274,ROG Strix G15 (2022) G513RC,"$1,099 ",,AMD Ryzen 7 6800HS 8-Core 16-Thread,AMD Radeon Graphics 12-Core,M.2 512GB + 1TB PCIe
2275,ROG Zephyrus Duo 16 | GX650RS,"$3,699 ",,AMD Ryzen™ 9 6900HX 8-core/16-thread,,2TB PCIe®  NVMe
2276,ROG Zephyrus M16 | GU604VI,"$2,779 ",,13th Gen Intel® Core™ i9-13900H,,1TB PCIe®  NVMe
2277,TUF Gaming A15 FA507RM,"$1,299 ",,AMD Ryzen 7 6800HX 8-Core 16-Thread,AMD Radeon Graphics 12-Core,1TB M.2 PCIe SSD
2278,ASUS TUF Gaming FA506IHRB,$669 ,,Ryzen 5 4600H 6-core/12-thread,Intel® UHD Graphics,512GB PCIe
2279,ASUS TUF Gaming FX506LHB,$669 ,,CPU Intel® Core™ i5-10300H,Intel® UHD Graphics,512GB PCIe
2280,ASUS TUF Gaming FX506HF,$799 ,,CPU Intel® Core™ i5-11400H,Intel® UHD Graphics,512GB PCIe
2281,ASUS TUF Gaming FX506HC,$949 ,,CPU Intel® Core™ i5-11400H,Intel® UHD Graphics,1TB PCIe
2282,ASUS TUF Dash 15 | FX516PE CPO,$999 ,16GB,11th Gen Intel Core i7-11370H,Intel Iris Xe Graphics,1TB M.2 PCIe SSD
2283,ASUS TUF Gaming FX507ZC4,$999 ,,CPU Intel® Core™ i5-12500H,Intel® UHD Graphics,1TB PCIe
2284,ASUS TUF Gaming A15 FA507NV,"$1,199 ",,AMD Ryzen 7-7735HS 8-Core 16-Thread,Intel® UHD Graphics,512GB PCIe
2285,ASUS TUF Gaming FX707ZU4,"$1,249 ",,CPU Intel® Core™ i7-12700H,Intel® UHD Graphics,1TB PCIe
2286,ASUS TUF Gaming FX707ZV4,"$1,349 ",,CPU Intel® Core™ i7-12700H,Intel® UHD Graphics,1TB PCIe
2287,"HP Pavilion Aero 13 Promo R5-5600U 13.3"" 2K",,,,,
2288,HP Pavilion Plus 14-EH0015,$799 ,,12th Gen Intel Core™ i5-1240P,Intel® Iris® Xᵉ Graphics,512GB M.2 PCIe SSD
2289,HP ENVY X360 15M-ES0013HD,$799 ,,11th Gen Intel Core™ i5-1135G7,Intel® Iris® Xᵉ Graphics,512GB M.2 PCIe SSD
2290,HP ENVY X360 15M-EU0013,$769 ,,AMD Ryzen™ 5 5500U Processors,AMD Radeon™ Graphics,512GB M.2 PCIe SSD
2291,MSI Cap & Tshirt,,,,,
2292,MSI Raider GE78 HX - 13VH,"$4,399 ",,13th Intel i9-13980HX (24C/32T),Intel UHD Graphics for 13th Gen,
2293,MSI Titan GT77 HX 13VI,"$6,199 ",,13th Intel i9-13980HX (24C/32T),Intel UHD Graphics for 13th Gen,
2294,MSI Stealth 17 Studio A13V,"$4,299 ",,13th Intel i9-13900H (14C/20T),Intel Iris Xe Graphics eligible,
2295,MSI Sword 15 | 11UD,"$1,129 ",,11th Gen Intel i7-11800H 8C/16T,,1TB M.2 PCIe SSD
2296,MSI Katana GF76 11UD | DEMO 98%,"$1,099 ",,11th Gen Intel Core i7-11800H,,1TB M.2 PCIe
2297,MSI GF75 Thin 10SCSR / CPO,$799 ,,11th Gen Intel Core i5-10300H,,1TB M.2 PCIe
2298,MSI GF63 Thin 11SC,779,8GB,11th Gen Intel Core i5-11400H,,512GB M.2 PCIe
2299,MSI GF63 Thin 11UC,799,8GB,11th Gen Intel Core i5-11400H,,512GB M.2 PCIe
2300,MSI Thin GF63 12VE-060KH,"$1,099 ",,12th Gen Intel Core i5-12450H,,1TB M.2 PCIe
2301,MSI Cyborg 15 A12UCX,$899 ,16GB,12th Gen Intel Core i5-12450H,,1TB PCIe
2302,MSI Cyborg 15 A12VE,"$1,129 ",16GB,12th Gen Intel Core i7-12650H,,1TB PCIe
2303,MSI Cyborg 15 A12VF,"$1,289 ",16GB,12th Gen Intel Core i7-12650H,,1TB M.2 PCIe 4.0
2304,MSI Katana 15 B13VEK,"$1,399 ",16GB,13th Gen Intel Core i7-13620H,,512GB + 1TB M.2 PCIe
2305,MSI Katana 17 B13V,"$1,519 ",16GB,13th Gen Intel Core i7-13620H,,512GB + 1TB M.2 PCIe
2306,MSI Katana GF76 12UDO,"$1,369 ",,12th Gen Intel Core i7-12700H,,1TB M.2 PCIe
2307,MSI Katana GF66 12UCK,"$1,169 ",,12th Gen Intel Core i7-12700H,,1TB M.2 PCIe
2308,MSI Modern 15 | A10M ( CPO),$679 ,16GB,Intel® Core™ i5-10210U Processor,,512GB M.2 PCIe
2309,MSI Modern 15 | B7M,$649 ,8GB,AMD Ryzen™ 5 7530U-Processors,,512GB M.2 PCIe
2310,MSI Modern 15 | B7M,$679 ,16GB,AMD Ryzen™ 5 7530U-Processors,,512GB M.2 PCIe
2311,MSI Modern 14 |  C13M,$699 ,8GB,13th Gen Intel Core i5® 1335U,,512GB M.2 PCIe
2312,MSI Modern 14 |  C12M,$579 ,8GB,12th Gen Intel Core i3-1215U,,512GB M.2 PCIe
2313,MSI Modern 14 C12M,$699 ,,12th Gen Intel Core  i5-1235U,Intel Iris Xe Graphics,1TB M.2 PCIe
2314,MSI Prestige 14 Evo A11M| CPO,$899 ,,11th Gen Intel EVO Core i7-1185G7,Intel Iris Xe Graphics,1TB M.2 PCIe
2315,MSI Prestige 15 ULTRA THIN | CPO,"$1,049 ",,Intel Core i7-10510U Processors,,1TB M.2 PCIe
2316,MSI Prestige 15 A12UC,"$1,399 ",,12th Gen Intel EVO Core i7-1280P,,512GB M.2 PCIe 4.0
2317,Huawei MateBook E12,,,11th Gen Intel Core i5-1130G7,,
2318,Huawei MateBook D16,,,12th Gen Intel Core i5-12450H,,
2319,Microsoft Surface Laptop GO,699,16GB,Intel® Core™ i5 1035G1 Processor,GPU : Intel® UHD Graphics,256GB M.2 PCIe
2320,"Surface Laptop 3 15"" | R5 2K",649,16GB,AMD Ryzen 5 3580U 4C/8T Processor,,256GB M.2 PCIe
2321,Microsoft Surface Laptop 5,"1,799",,12th Gen Intel Core i5-1235U Processors,GPU : Intel Iris Xe Graphics,1TB M.2 PCIe
2322,Microsoft Surface Laptop 5,"1,549",,12th Gen Intel Core i7-1255U Processors,GPU : Intel Iris Xe Graphics,256GB M.2 PCIe
2323,Microsoft Surface Laptop 5,"2,099",,12th Gen Intel Core i7-1255U Processors,GPU : Intel Iris Xe Graphics,1TB M.2 PCIe
2324,"13"" Surface Pro 9 2022","$1,209 ",8GB,12th Gen Intel® Core™ i5-1235U,Intel® Iris® Xe Graphics,256GB M.2 PCIe
2325,"13"" Surface Pro 9 for Business 2022",,16GB,12th Gen Intel® Core™ i7-1265U,Intel® Iris® Xe Graphics,256GB M.2 PCIe
2326,"13"" Surface Pro 9 2022",,32GB,12th Gen Intel® Core™ i7-1255U,Intel® Iris® Xe Graphics,256GB M.2 PCIe
2327,"13"" Surface Pro 8 2021","$1,549 ",16GB,Quad-core 11th Gen Intel i7-1185G7,Intel Iris Xe Graphics,512GB M.2 PCIe
2328,"13"" Surface Pro 8 | CPO",$999 ,8GB,Quad-core 11th Gen Intel i5-1135G7,Intel Iris Xe Graphics,256GB M.2 PCIe
2329,"13"" Surface Pro 8 2021","$1,249 ",16GB,Quad-core 11th Gen Intel i5-1145G7,Intel Iris Xe Graphics,256GB M.2 PCIe
2330,Mouse Microsoft Surface,,,,,
2331,new Surface Pro X Accessories,,,,,
2332,Surface Laptop Studio,"$1,899 ",16GB,Intel Core I5-11300H 4-Core 8-Thread,Intel Iris Xe Graphics,512GB M.2 PCIe
2333,Surface Laptop Studio,"$2,499 ",16GB,Intel Core I7-11370H 4-Core 8-Thread,,1TB M.2 PCIe
2334,Dell Gaming Backpack 17,$49 ,,,,
2335,Alienware M15 R7,"$1,449 ",,"Ryzen™ 7 6800H 8 cores, 16 threads",,1TB M.2 PCIe
2336,Alienware M15 R6 |RTX3070,"$1,549 ",,Intel® Core™ i7-11800H 8C 16T,,1TB M.2 PCIe
2337,Alienware x15 R2 Gaming,"$1,849 ",,12th Gen Intel i7 12700H 14C/20T,Intel UHD Graphics,1TB M.2 PCIe
2338,Razer Blade 18,"$3,699 ",,13th Gen Intel® Core™i9-13950HX,,
2339,Galaxy Book Pro | CPO,$749 ,8GB,11th Gen Intel Evo Core i5-1135G7,Intel Iris Xe Graphics,
2340,Samsung Galaxy Book 2 360,"$1,039 ",8GB,12th Gen Intel i5-1235U 10C/12T,Intel Iris Xe Graphics,
2341,Precision 7670 Workstation,"$1,799 ",,Intel i7-12850HX 16-Core 24-Thread,Intel® UHD Graphics for 12th,
2342,Dell Vostro 14 3420,$649 ,8GB,12th Gen Intel i5-1235U Processors,Intel® UHD Graphics for 12th Gen,
2343,Dell Vostro 16 5620,"$1,159 ",16GB,12th Gen Intel i7-1260P Processors,Intel Iris Xe Graphics,
2344,Dell Inspiron 16 5620,"$1,049 ",16GB,12th Gen Intel i5-1235U Processors,Intel Iris Xe Graphics,
2345,Dell Inspiron 14 5420,$929 ,16GB,12th Gen Intel i5-1235U Processors,Intel Iris Xe Graphics,
2346,Dell Inspiron 14 5420,"$1,099 ",16GB,12th Gen Intel i5-1235U Processors,Intel Iris Xe Graphics,
2347,Dell Inspiron 14 5420,"$1,039 ",16GB,12th Gen Intel i7-1255U Processors,Intel Iris Xe Graphics,
2348,Dell Inspiron 14 5420,"$1,269 ",16GB,12th Gen Intel i7-1255U Processors,Intel Iris Xe Graphics,
2349,Dell Inspiron 16 7620 2 in 1,"$1,049 ",16GB,12th Gen Intel i5-1235U Processors,Intel Iris Xe Graphics,
2350,Dell Inspiron 14 Plus 7420,"$1,299 ",16GB,12th Gen Intel i7-12700H Processors,,
2351,Dell 7610 Plus |  Demo 98%,$929 ,8GB,11th Gen Intel i7-11800H 16-Thread,Intel® UHD Graphics,
2352,,,16GB,VGA : Intel HD Graphics,VGA : Intel HD Graphics,1TB M.2 PCIe
2353,DELL XPS 13+ 9320 CPO,"$1,549 ",16GB,12th Gen Intel® Core™ i7-1260P,Intel Iris Xe Graphics,
2354,Dell XPS 15 9520,"$2,749 ",32GB,12th Gen Intel® Core™ i7-12700H,Intel Iris Xe Graphics,
2355,Dell Gaming Backpack 17,$49 ,,,,
2356,Dell Optical Mouse,,,,,
2357,DELL G15 5520 Gaming,"$1,849 ",16GB,Intel i7-12700H 14-Core 20-Thread,Intel® Iris® Xe Graphics,1TB M.2 PCIe
2358,Macbook Pro M1 2020,"$1,499 ",,,,
2359,Macbook Pro M2 2022,,,,,
2360,"MacBook Pro 14"" M2 Pro 2023",,,,,
2361,"MacBook Pro 16"" M2 Pro 2023",,,,,
2362,"MacBook Pro 14.2"" M1 Pro 2021","$2,199 ",,,,
2363,"MacBook Pro 16.2"" M1 Pro","$2,499 ",,,,
2364,Macbook Air M2 2022 ( MLY13 ),,,,,
2365,Macbook Air M2 2022 ( MLY23 ),,,,,
2366,Macbook Air M1 2020,"$1,269 ",,,,
2367,iPad Pro 11 Chip M2 WIFI+5G (2022),,,,,
2368,iPad 10Th Gen 2022,,,,,
2369,"iPad 9th Gen 10.2""  (2021)",,,,,
2370,iPhone 14 Plus,,,,,
2371,"iPhone 13 (6.1"")",,,,,
2372,Watch Series 6 GPS,,,,,
2373,Apple TV 4K 32GB 2017,,,,,
2374,Apple Magic Trackpad 2 Latest,,,,,
2375,Apple Smart Keyboard 2020,,,,,
2376,,,8GB,,,256GB SSD
2377,,,8GB,,,512GB SSD
2378,,,8GB,Intel Iris Plus Graphics 640,Intel Iris Plus Graphics 640,512GB SSD
2379,,,8GB,,,512GB SSD
2380,,,8GB,,,512GB SSD
2381,,,8GB,intel Graphics,intel Graphics,512GB SSD
2382,,,16GB,,,512GB SSD
2383,"Lenovo IdeaPad 3 15"" (%98)  Intel N5030 15.6"" FHD",,,Intel N5030 4GB 128G,,
2384,"Lenovo IdeaPad 3 15""
$539 $379
- Intel Core i3-1115G4 (up to 4.10 GHz)
       - RAM : 8GB DDR4 = 16GB = $20 
      - Storage :512GB M.2 PCIe SSD
      - Display : 15.6"" FHD (1920 x 1080) IPS 
      - VGA :  Intel UHD Graphics 11th Gen
      - OS : Windows 11 License 
      - Feature :  Web Cam , NumPad 
      - Weight : 1.6 Kg | Color:  Artic Grey
      - Code: CAMSYN010123-D20 
		  - -------------------------- 
		  - Free : Backpack, Wireless Mouse, Pad   
		- Free : Cleaning Kit Water ($2)",$539 ,8GB,Intel Core i3-1115G4 (up to 4.10 GHz),Intel UHD Graphics 11th Gen,
2385,"Lenovo IdeaPad 3 15""
$579 $479
- Intel Core i5-1155G7 (up to 4.10 GHz)
      - RAM : 8GB DDR4 = 16GB = $20 
      - Storage :512GB M.2 PCIe SSD
      - Display : 15.6"" FHD (1920 x 1080) IPS 
      - VGA :  Intel® Iris® Xe Graphics
      - OS : Windows 11 License 
      - Feature :  Web Cam , NumPad 
      - Weight : 1.6 Kg | Color:  Artic Grey
      - Code: LS040223C2-D30 
		  - -------------------------- 
		  - Free : Backpack, Wireless Mouse, Pad   
		- Free : Cleaning Kit Water ($2)",$579 ,8GB,Intel Core i5-1155G7 (up to 4.10 GHz),Intel® Iris® Xe Graphics,
2386,Lenovo IdeaPad 3 | 15IAU7,$649 ,8GB,Intel UHD Graphics 12th Gen,Intel UHD Graphics 12th Gen,
2387,Lenovo IdeaPad 3 | 15IAU7,$699 ,8GB,Intel® Iris® Xe Graphics,Intel® Iris® Xe Graphics,
2388,LENOVO IdeaPad 5 Pro 16 | 16ARH7,$949 ,,Ryzen™ 7 6800HS 8 Cores 16 Threads,,
2389,Lenovo Yoga Slim 7 Pro | OLED,$879 ,,Intel® Evo Core™ i5-11300H (4C / 8T),Intel Iris Xe Graphics,
2390,Lenovo Yoga Pro 7 | 14IRH8,"$1,399 ",,13th Gen Intel® Core™ i7-13700H,Intel Iris Xe Graphics,
2391,LENOVO LEGION Pro 7 | 16IRX8H,"$3,499 ",32GB,13h Generation Intel® Core™ i9-13900HX,,
2392,LENOVO LEGION Pro 5 | 16IRX8,"$2,099 ",32GB,13h Generation Intel® Core™ i7-13700HX,,
2393,LENOVO LEGION Slim 5 | 16IRH8,"$1,739 ",32GB,13h Generation Intel® Core™ i7-13700H,,
2394,LENOVO LEGION 5 | 15IAH7H,"$1,349 ",16GB,12th Generation Intel® Core™ i7-12700H,,
2395,Lenovo Gaming 3 2023 | 15ARH7,$999 ,,AMD 7000 Series Ryzen™ 5 7535HS,,
2396,Lenovo Gaming 3 | 15ARH7,"$1,099 ",,AMD Ryzen™ 7 6800H (8C / 16T ),,
2397,Duet Chromebook 2in1,$299 ,,,,
2398,"LENOVO Flex 5i 14"" 2in1  ( DEMO )",$659 ,8GB,11th Gen Intel Core i5-1135G7,Intel UHD Graphics,
2399,Lenovo IdeaPad Flex 5 | 14IRU8,$849 ,,13th Gen Intel® Core™ i5-1335U,Intel® Iris® Xe Graphics,
2400,Lenovo Yoga 7 | 14IRL8,"$1,049 ",,13th Gen Intel® Core™ i5-1340P,Intel® Iris® Xe Graphics,
2401,Lenovo Yoga 7 | 14IRL8,"$1,199 ",,13th Gen Intel® Core™ i7-1360P,Intel® Iris® Xe Graphics,
2402,"LENOVO YOGA C940 (14"") 2in1 CPO",$849 ,,Intel® Core™ i7-1065G7 Processor,,
2403,LENOVO Yoga 9 2in1,$999 ,,11th Gen Intel EVO Core i7-1185G7,Intel Iris Xe Graphics,
2404,LENOVO Yoga 7i 2in1,$999 ,,12th Gen Intel EVO Core™ i5-1240P,Intel Iris Xe Graphics,
2405,LENOVO Yoga 7i 2in1 ( CPO ),"$1,099 ",,12th Gen Intel EVO Core™ i7-1260P,Intel Iris Xe Graphics,
2406,LENOVO Yoga 9i 2in1 2022,"$1,199 ",,12th Gen Intel EVO Core i7-1260P,Intel Iris Xe Graphics,
2407,LENOVO Yoga 9i OLED ( CPO ),"$1,299 ",,12th Gen Intel EVO Core i7-1260P,Intel Iris Xe Graphics,
2408,LENOVO Yoga 9i 2in1 4K OLED,"$1,349 ",,12th Gen Intel EVO Core i7-1260P,Intel Iris Xe Graphics,
2409,ThinkPad X1 Carbon Gen 10,"$1,899 ",,12th Gen Intel EVo Core i7-1260P,Intel® Iris® Xe Graphics eligible,
2410,ThinkPad E15 Gen 4,$949 ,8GB,12th Gen Intel Core i5-1235U Processor,Intel® Iris® Xe Graphics eligible,
2411,ThinkPad E15 Gen 2,$705 ,8GB,11th Gen Intel Core i3-1115G4,,
2412,ThinkPad L15 Gen 2,$785 ,8GB,AMD Ryzen 5 5600U,,
2413,"ThinkBook 15 G2
$665 $645
- 11th Gen Intel Core i5-1135G7 
      - RAM : 8GB (DDR4) = 16GB = $30
      - Storage : 512GB M.2 PCIe 	 
      - 15.6"" FHD (1920 x 1080) IPS
      - VGA :  Intel Iris Xe Graphics
	  - Firmware TPM 2.0 integrated in chipset
	  - Windows 11 Pro Recommendation 
      - Weight : 1.7 Kg | Mineral Grey 
	  - Code: I3105I620B2
		  - -------------------------- 
		- Free : Backpack,Wi. Mouse, Pad
		- Free : Cleaning Kit Water ($2)",$665 ,8GB,11th Gen Intel Core i5-1135G7,Intel Iris Xe Graphics,
2414,LENOVO Yoga 9 2in1 - CPO,,,11th Gen Intel EVO Core i7-1185G7,Intel Iris Xe Graphics,
2415,"Asus VivoBook Pro 16X M7600QC 
        Ryzen™ 7 5800H 16"" 4K OLED",,,,,8GB / 256GB PCIe
2416,ASUS ROG STRIX GO CORE ML 2022,,,,,
2417,ASUS ROG GLADIUS 2 CORE 2022,,,,,
2418,ASUS ROG BASKETBALL EDITION,,,,,
2419,"HP Pavilion Aero 13 Promo R5-5600U 13.3"" 2K",,,,,
2420,MSI Cap & Tshirt,,,,,
2421,Huawei MateBook E12,,,11th Gen Intel Core i5-1130G7,,
2422,Huawei MateBook D16,,,12th Gen Intel Core i5-12450H,,
2423,Mouse Microsoft Surface,,,,,
2424,new Surface Pro X Accessories,,,,,
2425,Dell Gaming Backpack 17,$49 ,,,,
2426,Dell Gaming Backpack 17,$49 ,,,,
2427,Dell Optical Mouse,,,,,
2428,Macbook Pro M1 2020,"$1,499 ",,,,
2429,Macbook Pro M2 2022,,,,,
2430,"MacBook Pro 14"" M2 Pro 2023",,,,,
2431,"MacBook Pro 16"" M2 Pro 2023",,,,,
2432,"MacBook Pro 14.2"" M1 Pro 2021","$2,199 ",,,,
2433,"MacBook Pro 16.2"" M1 Pro","$2,499 ",,,,
2434,Macbook Air M2 2022 ( MLY13 ),,,,,
2435,Macbook Air M2 2022 ( MLY23 ),,,,,
2436,Macbook Air M1 2020,"$1,269 ",,,,
2437,iPad Pro 11 Chip M2 WIFI+5G (2022),,,,,
2438,iPad 10Th Gen 2022,,,,,
2439,"iPad 9th Gen 10.2""  (2021)",,,,,
2440,iPhone 14 Plus,,,,,
2441,"iPhone 13 (6.1"")",,,,,
2442,Watch Series 6 GPS,,,,,
2443,Apple TV 4K 32GB 2017,,,,,
2444,Apple Magic Trackpad 2 Latest,,,,,
2445,Apple Smart Keyboard 2020,,,,,
2446,,,8GB,,,256GB SSD
2447,,,8GB,,,512GB SSD
2448,,,8GB,,,512GB SSD
2449,,,8GB,,,512GB SSD
2450,,,16GB,,,512GB SSD
2451,"Lenovo IdeaPad 3 15"" (%98)  Intel N5030 15.6"" FHD",,,Intel N5030 4GB 128G,,
2452,Duet Chromebook 2in1,$299 ,,,,
2453,LENOVO Yoga 9 2in1 - CPO,,,11th Gen Intel EVO Core i7-1185G7,Intel Iris Xe Graphics,
2454,"Asus VivoBook Pro 16X M7600QC 
        Ryzen™ 7 5800H 16"" 4K OLED",,,,,8GB / 256GB PCIe
2455,ASUS ROG STRIX GO CORE ML 2022,,,,,
2456,ASUS ROG GLADIUS 2 CORE 2022,,,,,
2457,ASUS ROG BASKETBALL EDITION,,,,,
2458,"HP Pavilion Aero 13 Promo R5-5600U 13.3"" 2K",,,,,
2459,MSI Cap & Tshirt,,,,,
2460,Huawei MateBook E12,,,11th Gen Intel Core i5-1130G7,,
2461,Huawei MateBook D16,,,12th Gen Intel Core i5-12450H,,
2462,Mouse Microsoft Surface,,,,,
2463,new Surface Pro X Accessories,,,,,
2464,Dell Gaming Backpack 17,$49 ,,,,
2465,Dell Gaming Backpack 17,$49 ,,,,
2466,Dell Optical Mouse,,,,,
2467,Macbook Pro M1 2020,"$1,499 ",,,,
2468,Macbook Pro M2 2022,,,,,
2469,"MacBook Pro 14"" M2 Pro 2023",,,,,
2470,"MacBook Pro 16"" M2 Pro 2023",,,,,
2471,"MacBook Pro 14.2"" M1 Pro 2021","$2,199 ",,,,
2472,"MacBook Pro 16.2"" M1 Pro","$2,499 ",,,,
2473,Macbook Air M2 2022 ( MLY13 ),,,,,
2474,Macbook Air M2 2022 ( MLY23 ),,,,,
2475,Macbook Air M1 2020,"$1,269 ",,,,
2476,iPad Pro 11 Chip M2 WIFI+5G (2022),,,,,
2477,iPad 10Th Gen 2022,,,,,
2478,"iPad 9th Gen 10.2""  (2021)",,,,,
2479,iPhone 14 Plus,,,,,
2480,"iPhone 13 (6.1"")",,,,,
2481,Watch Series 6 GPS,,,,,
2482,Apple TV 4K 32GB 2017,,,,,
2483,Apple Magic Trackpad 2 Latest,,,,,
2484,Apple Smart Keyboard 2020,,,,,
2485,,,8GB,,,256GB SSD
2486,,,8GB,,,512GB SSD
2487,,,8GB,,,512GB SSD
2488,,,8GB,,,512GB SSD
2489,,,16GB,,,512GB SSD
2490,"Lenovo IdeaPad 3 15"" (%98)  Intel N5030 15.6"" FHD",,,Intel N5030 4GB 128G,,
2491,Duet Chromebook 2in1,$299 ,,,,
2492,LENOVO Yoga 9 2in1 - CPO,,,11th Gen Intel EVO Core i7-1185G7,Intel Iris Xe Graphics,
2493,ROG Strix Scar 17 | G733QSA ( CPO ),"$1,699 ",,Ryzen™ 9 5950HX 8-Core 16-Thread,AMD Radeon Graphics 8-Core,2TB M.2 PCIe
2494,Acer Gateway GWTC51427 ULTRA,$499 ,8GB,12th Gen Intel Core i5-1235U,Intel®  Graphics,
2495,"ACER Nitro 5 Gaming 17"" 2022","$1,099 ",32GB,12th Gen Intel i5-12500H 12C/16T,Intel Graphics eligible,1TB M.2 PCIe SSD
2496,"GIGABYTE G5 KD 15.6"" 144Hz RTX3060","$1,199 ",16GB,11th Gen Intel i5-11400H 6C/12T,Intel Graphics eligible,2TB PCIe SSD
2497,"GIGABYTE U4 UD 14.0"" Thin Bezel FHD IPS",$879 ,16GB,11th Gen Intel® Core™ i5-1155G7,Intel® Iris® Xe Graphics,2TB PCIe SSD
2498,"ACER Aspire 3 15"" 
Intel 12th Gen Series 2022",$539 ,8GB,Intel 12th Gen Series 2022,Intel UHD Graphics,512GB M.2 PCIe
2499,ACER Aspire 3,$669 ,16GB,11th Gen Intel Core i7-1165G7,Intel Iris Xe Graphics,512GB M.2 PCIe
2500,ACER Swift 1 Ultra Thin,$439 ,4GB,Intel Celeron N5100 Quad 4-Core,,
2501,NEW Swift 3x Editor  Intel® Iris® Xe MAX 4GB,$659 ,8GB,11th Gen Intel Core i5-1135G7,,
2502,ACER Nitro 5 Gaming 2022,$999 ,16GB,12th Gen Intel i5-12500H 12C/16T,Intel Graphics eligible,1TB PCIe SSD
2503,ACER Nitro 5 Gaming 2022,$999 ,16GB,12th Gen Intel i7-12700H 14C/20T,Intel Graphics eligible,1TB PCIe SSD
2504,"ACER Nitro 5 Gaming 17"" 2022","$1,249 ",32GB,12th Gen Intel i5-12500H 12C/16T,Intel Graphics eligible,1TB M.2 PCIe SSD
2505,ASUS VivoBook 14 X415MA,$429 ,8GB,Intel N4020 1.10GHz Max 2.80GHz,Intel UHD Graphics 600,
2506,ASUS VivoBook 15 X515MA,$449 ,8GB,Intel N4020 1.10GHz Max 2.80GHz,Intel UHD Graphics 600,
2507,ASUS VivoBook 14 E410KA,$399 ,4GB,Intel® Celeron® N4500 Processor,Intel UHD Graphics,
2508,ASUS VivoBook 14 X1400EA,$499 ,8GB,Intel® Core™ i3-1115G4 Processor,Intel UHD Graphics,
2509,ASUS VivoBook 15 X1500EA,$499 ,8GB,Intel® Core™ i3-1115G4 Processor,Intel UHD Graphics,
2510,ASUS VivoBook Go 15 OLED | E1504GA,$699 ,8GB,Intel®Core™ i3®-N305 Processor,Intel® Iris® Xe Graphics,
2511,ASUS VivoBook 15 | X1502ZA,$699 ,8GB,Intel®Core™ i5®-1235U Processor,Intel® Iris® Xe Graphics,
2512,ASUS VivoBook 14 | X1405VA,$799 ,8GB,Intel®Core™ i5-13500H Processor,Intel® Iris® Xe Graphics,
2513,ASUS VivoBook 15 OLED | X1505VA,$849 ,8GB,Intel®Core™ i5-13500H Processor,Intel® Iris® Xe Graphics,
2514,ASUS VivoBook 16 | X1605VA,$769 ,8GB,Intel®Core™ i5-13500H Processor,Intel® Iris® Xe Graphics,
2515,VivoBook 16 ( D1603QA ),$639 ,,AMD 5000 Series Ryzen™ 5 5600H,,
2516,VivoBook 15 OLED (M3502QA) 2022,$879 ,8GB,AMD Ryzen™ 5 5600H 6-core/12-thread,AMD Radeon™ Graphics,
2517,ASUS VivoBook 16X K3605ZF,$949 ,8GB,12th Gen Intel® Core™ i5® 12450H,Intel® Iris Xe Graphics,
2518,ASUS VivoBook S 16X ( S5602ZA ),"$1,199 ",,12th Gen Intel® Core™ i5-12500H,,
2519,VivoBook Pro 15 OLED ( M6500QC ),"$1,259 ",,AMD 5000 Series Ryzen™ 7 5800H,,
2520,VivoBook Pro 16X OLED ( N7601ZM ),"$1,699 ",,12th Gen Intel® Core™ i7-12650H,,
2521,ASUS Vivobook Pro 16 OLED (K6602VU),"$1,769 ",,13th Gen Intel® Core™ i9-13900H,,
2522,ASUS Vivobook Pro 16 OLED (K6602VV),"$1,869 ",,13th Gen Intel® Core™ i9-13900H,,
2523,Asus VivoBook Pro 16X OLED,"$1,449 ",16GB,11th Gen Intel® Core™ i7-11370H,,
2524,Zenbook 17 Fold OLED | UX9702,"$3,399 ",,12th Gen Intel® Core™ i7-1250U,Intel® Iris Xe Graphics,
2525,ASUS ZenBook 14X OLED | UX5400ZF,"$1,349 ",,12th Gen Intel Core I7-1260P,Intel® Iris Xe Graphics,
2526,ASUS ZenBook 14 OLED | UM3402YA,$949 ,,Ryzen™ 7 5825U 8-core/16-thread,AMD Radeon™ Graphics,
2527,ASUS ZenBook 14 OLED | Q409ZA,$899 ,,12th Gen Intel Evo Core I5-1240P,Intel® Iris Xe Graphics,
